building_id,school_name,building_address,city,borough,borough_code,geographical_district,latitude,longitude
M047,J.H.S. 47 (SCH FOR THE DEAF) - M,223 EAST 23 STREET,Manhattan,MANHATTAN,M,2,40.738548,-73.982455
K116,P.S. 116 - BROOKLYN,515 KNICKERBOCKER AVENUE,Brooklyn,BROOKLYN,K,32,40.697779,-73.916521
M075,P.S. 75 - MANHATTAN,735 WEST END AVENUE,Manhattan,MANHATTAN,M,3,40.795157,-73.973292
R055,P.S. 55 - STATEN ISLAND,54 OSBORNE STREET,Staten Island,STATEN IS,R,31,40.536639,-74.163815
Q005,I.S. 5 - QUEENS,50-40 JACOBUS STREET,Queens,QUEENS,Q,24,40.737918,-73.887407
X086,P.S. 86 - BRONX,2756 RESERVOIR AVENUE,Bronx,BRONX,X,10,40.869835,-73.89874
K205,P.S. 205 - BROOKLYN,6701 20 AVENUE,Brooklyn,BROOKLYN,K,20,40.61527,-73.987149
X138,P.S. 138 - BRONX,2060 LAFAYETTE AVENUE,Bronx,BRONX,X,8,40.822665,-73.853366
Q085,P.S. 85 - QUEENS,23-70 31 STREET,Queens,QUEENS,Q,30,40.772932,-73.914625
Q122,P.S. 122 - QUEENS,21-21 DITMARS BOULEVARD,Queens,QUEENS,Q,30,40.780347,-73.916655
X114,P.S. 114 - BRONX,1155 CROMWELL AVENUE,Bronx,BRONX,X,9,40.834776,-73.923067
Q463,FLUSHING HS - QUEENS,34-42 LEAVITT STREET,Queens,QUEENS,Q,25,40.765585,-73.829149
Q499,P.S./I.S. 499 - QUEENS,148-20 REEVES AVENUE,Queens,QUEENS,Q,25,40.739246,-73.822057
K425,JAMES MADISON HS - BROOKLYN,3787 BEDFORD AVENUE,Brooklyn,BROOKLYN,K,22,40.609912,-73.948512
K157,P.S. 157 - BROOKLYN,850 KENT AVENUE,Brooklyn,BROOKLYN,K,14,40.695417,-73.959571
Q520,MIDDLE COLLEGE HIGH SCHOOL - QUEENS,45-35 VAN DAM STREET,Queens,QUEENS,Q,24,40.744412,-73.93364
X152,P.S. 152 - BRONX,1007 EVERGREEN AVENUE,Bronx,BRONX,X,8,40.824024,-73.880032
M234,P.S. 234 - MANHATTAN,292 GREENWICH STREET,Manhattan,MANHATTAN,M,2,40.716017,-74.011038
K062,I.S. 62 - BROOKLYN,700 CORTELYOU ROAD,Brooklyn,BROOKLYN,K,20,40.638686,-73.971651
R025,R025 SPED - STATEN ISLAND,4210 ARTHUR KILL ROAD,Staten Island,STATEN IS,R,31,40.539795,-74.237549
K332,CHRISTOPHER AVENUE COMMUNITY SCHOOL,51 CHRISTOPHER AVENUE,Brooklyn,BROOKLYN,K,23,40.672462,-73.906552
K801,HEADQTRS 65 CNTRL ADMIN. - K,65 COURT STREET,Brooklyn,BROOKLYN,K,15,40.692012,-73.991227
K019,P.S. 414 - BROOKLYN,325 SOUTH 3 STREET,Brooklyn,BROOKLYN,K,14,40.709647,-73.95465
K211,I.S. 211 - BROOKLYN,1001 EAST 100 STREET,Brooklyn,BROOKLYN,K,18,40.643278,-73.896212
X022,I.S. 22 - BRONX,270 EAST 167 STREET,Bronx,BRONX,X,9,40.833131,-73.914027
K194,P.S. 194 - BROOKLYN,3117 AVENUE W,Brooklyn,BROOKLYN,K,22,40.596757,-73.933499
M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,Manhattan,MANHATTAN,M,1,40.72154,-73.986648
Q141,I.S. 141 - QUEENS,37-11 21 AVENUE,Queens,QUEENS,Q,30,40.775589,-73.90509
M112,P.S. 112 - MANHATTAN,535 EAST 119 STREET,Manhattan,MANHATTAN,M,4,40.796668,-73.930966
Q686,QUEENS METROPOLITAN HIGH SCHOOL - QUEENS,91-30 METROPOLITAN AVENUE,Queens,QUEENS,Q,28,40.711367,-73.856698
Q058,P.S. 58 - QUEENS,72-24 GRAND AVENUE,Queens,QUEENS,Q,24,40.728735,-73.890699
X099,METROPOLITAN HS - BRONX,1180 REV. J.A. POLITE AVENUE,Bronx,BRONX,X,12,40.827315,-73.897612
K126,J.H.S. 126 - BROOKLYN,424 LEONARD STREET,Brooklyn,BROOKLYN,K,14,40.719819,-73.948625
M042,P.S. 42 - MANHATTAN,71 HESTER STREET,Manhattan,MANHATTAN,M,2,40.715905,-73.990895
X053,P.S. 53 - BRONX,360 EAST 168 STREET,Bronx,BRONX,X,9,40.832866,-73.911418
M087,P.S. 87 - MANHATTAN,160 WEST 78 STREET,Manhattan,MANHATTAN,M,3,40.781958,-73.977638
Q105,P.S. 105 - QUEENS,420 BEACH 51 STREET,Queens,QUEENS,Q,27,40.595768,-73.781873
R031,P.S. 31 - STATEN ISLAND,55 LAYTON AVENUE,Staten Island,STATEN IS,R,31,40.641595,-74.085135
M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,Manhattan,MANHATTAN,M,2,40.735687,-73.999
Q179,Q004 SPED - QUEENS,196-25 PECK AVENUE,Queens,QUEENS,Q,26,40.741852,-73.779796
X127,I.S. 127 - BRONX,1560 PURDY STREET,Bronx,BRONX,X,11,40.837931,-73.853524
K023,P.S. 23 - BROOKLYN,545 WILLOUGHBY AVENUE,Brooklyn,BROOKLYN,K,14,40.69407,-73.94756
M528,I.S. 528 - MANHATTAN,180 WADSWORTH AVENUE,Manhattan,MANHATTAN,M,6,40.85051,-73.934485
Q153,P.S. 153 - QUEENS,60-02 60 LANE,Queens,QUEENS,Q,24,40.716609,-73.903669
Q177,Q177 SPED - QUEENS,56-37 188 STREET,Queens,QUEENS,Q,26,40.74391,-73.788133
X119,P.S. 119 - BRONX,1075 PUGSLEY AVENUE,Bronx,BRONX,X,8,40.828518,-73.856569
X107,P.S. 107 - BRONX,1695 SEWARD AVENUE,Bronx,BRONX,X,8,40.818467,-73.868372
K309,P.S. 309 - BROOKLYN,794 MONROE STREET,Brooklyn,BROOKLYN,K,16,40.688419,-73.924833
Q013,P.S. 13 - QUEENS,55-01 94TH STREET,Queens,QUEENS,Q,24,40.737613,-73.86851
K279,P.S. 279 - BROOKLYN,1070 EAST 104 STREET,Brooklyn,BROOKLYN,K,18,40.644203,-73.892264
Q201,P.S. 201 - QUEENS,65-11 155 STREET,Queens,QUEENS,Q,25,40.736653,-73.813346
M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,320 EAST 96 STREET,Manhattan,MANHATTAN,M,2,40.783625,-73.945637
M096,P.S. 96 - MANHATTAN,216 EAST 120 STREET,Manhattan,MANHATTAN,M,4,40.800256,-73.937558
Q097,P.S. 97 - QUEENS,85-52 85 STREET,Queens,QUEENS,Q,27,40.694518,-73.859659
K050,J.H.S. 50 - BROOKLYN,183 SOUTH 3 STREET,Brooklyn,BROOKLYN,K,14,40.711704,-73.960275
Q037,P.S. 37 - QUEENS,179-37 137 AVENUE,Queens,QUEENS,Q,29,40.67588,-73.758505
K221,P.S. 221 - BROOKLYN,791 EMPIRE BOULEVARD,Brooklyn,BROOKLYN,K,17,40.663701,-73.936049
Q415,BENJAMIN N. CARDOZO HS - QUEENS,57-00 223 STREET,Queens,QUEENS,Q,26,40.752333,-73.75599
X193,P.S. 211 - BRONX,1919 PROSPECT AVENUE,Bronx,BRONX,X,12,40.843546,-73.889755
Q052,P.S. 52 - QUEENS,178-37 146 TERRACE,Queens,QUEENS,Q,29,40.661122,-73.766733
